timestamp,code,msg_type
2026-08-05T09:32:59.799,03077T,depth
2026-08-05T09:32:59.799,03046T,depth
2026-08-05T09:32:59.893,03182T,depth
2026-08-05T09:32:59.960,03182T,depth
2026-08-05T09:32:59.960,03011T,depth
2026-08-05T09:33:00.023,03182T,depth
2026-08-05T09:33:00.088,03011T,depth
2026-08-05T09:33:00.088,03011T,depth
2026-08-05T09:33:00.321,03182T,depth
2026-08-05T09:33:00.387,03011T,depth
2026-08-05T09:33:00.452,03046T,depth
2026-08-05T09:33:00.452,03046T,depth
2026-08-05T09:33:00.452,03011T,depth
2026-08-05T09:33:00.515,03182T,depth
2026-08-05T09:33:00.515,03046T,depth
2026-08-05T09:33:00.517,03046T,depth
2026-08-05T09:33:00.619,03046T,depth
2026-08-05T09:33:00.689,03182T,depth
2026-08-05T09:33:00.689,03011T,depth
2026-08-05T09:33:00.750,03077T,depth
2026-08-05T09:33:00.752,03046T,depth
2026-08-05T09:33:00.752,03077T,depth
2026-08-05T09:33:00.752,03077T,depth
2026-08-05T09:33:00.816,03077T,depth
2026-08-05T09:33:00.985,03077T,depth
2026-08-05T09:33:01.053,03077T,depth
2026-08-05T09:33:01.720,03011T,depth
2026-08-05T09:33:01.793,03046T,depth
2026-08-05T09:33:01.793,03182T,depth
2026-08-05T09:33:01.793,03011T,depth
2026-08-05T09:33:01.793,03046T,depth
2026-08-05T09:33:01.793,03011T,depth
2026-08-05T09:33:01.793,03182T,depth
2026-08-05T09:33:01.862,03182T,depth
2026-08-05T09:33:01.862,03077T,depth
2026-08-05T09:33:01.925,03077T,depth
2026-08-05T09:33:01.986,03077T,depth
2026-08-05T09:33:02.055,03046T,depth
2026-08-05T09:33:02.055,03011T,depth
2026-08-05T09:33:02.055,03182T,depth
2026-08-05T09:33:02.055,03077T,depth
2026-08-05T09:33:02.145,03046T,depth
2026-08-05T09:33:02.214,03011T,depth
2026-08-05T09:33:02.214,03182T,depth
2026-08-05T09:33:02.216,03077T,depth
2026-08-05T09:33:02.216,03046T,depth
2026-08-05T09:33:02.216,03011T,depth
2026-08-05T09:33:02.216,03182T,depth
2026-08-05T09:33:02.216,03077T,depth
2026-08-05T09:33:02.881,03077T,depth
2026-08-05T09:33:02.963,03046T,depth
2026-08-05T09:33:02.965,03077T,depth
2026-08-05T09:33:02.965,03046T,depth
2026-08-05T09:33:03.029,03077T,depth
2026-08-05T09:33:03.094,03046T,depth
2026-08-05T09:33:03.094,03077T,depth
2026-08-05T09:33:03.156,03046T,depth
2026-08-05T09:33:03.156,03077T,depth
2026-08-05T09:33:03.423,03046T,depth
2026-08-05T09:33:03.492,03077T,depth
2026-08-05T09:33:03.492,03182T,depth
2026-08-05T09:33:03.555,03182T,depth
2026-08-05T09:33:03.557,03182T,depth
2026-08-05T09:33:03.557,03011T,depth
2026-08-05T09:33:03.620,03011T,depth
2026-08-05T09:33:03.620,03011T,depth
2026-08-05T09:33:04.006,03046T,depth
2026-08-05T09:33:04.085,03046T,depth
2026-08-05T09:33:04.183,03077T,depth
2026-08-05T09:33:04.261,03046T,depth
2026-08-05T09:33:04.263,03077T,depth
2026-08-05T09:33:04.263,03077T,depth
2026-08-05T09:33:04.263,03182T,depth
2026-08-05T09:33:04.263,03011T,depth
2026-08-05T09:33:04.263,03077T,depth
2026-08-05T09:33:04.327,03196T,depth
2026-08-05T09:33:04.327,03197T,depth
2026-08-05T09:33:04.329,03046T,depth
2026-08-05T09:33:04.329,03195T,depth
2026-08-05T09:33:04.329,03194T,depth
2026-08-05T09:33:04.331,03011T,depth
2026-08-05T09:33:04.331,03077T,depth
2026-08-05T09:33:04.331,03182T,depth
2026-08-05T09:33:04.480,03046T,depth
2026-08-05T09:33:04.550,03182T,depth
2026-08-05T09:33:04.550,03077T,depth
2026-08-05T09:33:04.550,03011T,depth
2026-08-05T09:33:04.820,03197T,depth
2026-08-05T09:33:04.900,03195T,depth
2026-08-05T09:33:04.900,03196T,depth
2026-08-05T09:33:04.900,03194T,depth
2026-08-05T09:33:05.138,03046T,depth
2026-08-05T09:33:05.218,03046T,depth
2026-08-05T09:33:05.220,03077T,depth
2026-08-05T09:33:05.220,03077T,depth
2026-08-05T09:33:05.281,03077T,depth
2026-08-05T09:33:05.667,03046T,depth
2026-08-05T09:33:05.745,03077T,depth
2026-08-05T09:33:05.745,03182T,depth
2026-08-05T09:33:05.812,03182T,depth
2026-08-05T09:33:05.812,03182T,depth
2026-08-05T09:33:05.876,03011T,depth
2026-08-05T09:33:05.876,03011T,depth
2026-08-05T09:33:05.941,03011T,depth
2026-08-05T09:33:06.354,03046T,depth
2026-08-05T09:33:06.433,03077T,depth
2026-08-05T09:33:06.503,03046T,depth
2026-08-05T09:33:06.503,03182T,depth
2026-08-05T09:33:06.503,03077T,depth
2026-08-05T09:33:06.503,03011T,depth
2026-08-05T09:33:06.788,03046T,depth
2026-08-05T09:33:06.852,03011T,depth
2026-08-05T09:33:06.852,03182T,depth
2026-08-05T09:33:06.852,03077T,depth
2026-08-05T09:33:07.123,03046T,depth
2026-08-05T09:33:07.186,03011T,depth
2026-08-05T09:33:07.188,03182T,depth
2026-08-05T09:33:07.188,03077T,depth
2026-08-05T09:33:08.050,03046T,depth
2026-08-05T09:33:08.115,03077T,depth
2026-08-05T09:33:08.115,03077T,depth
2026-08-05T09:33:08.115,03046T,depth
2026-08-05T09:33:08.180,03077T,depth
2026-08-05T09:33:08.293,03046T,depth
2026-08-05T09:33:08.372,03077T,depth
2026-08-05T09:33:08.372,03046T,depth
2026-08-05T09:33:08.372,03077T,depth
2026-08-05T09:33:08.497,03182T,depth
2026-08-05T09:33:08.577,03011T,depth
2026-08-05T09:33:08.577,03011T,depth
2026-08-05T09:33:08.577,03182T,depth
2026-08-05T09:33:08.579,03011T,depth
2026-08-05T09:33:08.579,03182T,depth
2026-08-05T09:33:08.653,03011T,depth
2026-08-05T09:33:08.722,03046T,depth
2026-08-05T09:33:08.722,03077T,depth
2026-08-05T09:33:08.722,03182T,depth
2026-08-05T09:33:08.722,03011T,depth
2026-08-05T09:33:08.722,03182T,depth
2026-08-05T09:33:08.722,03182T,depth
2026-08-05T09:33:08.722,03011T,depth
2026-08-05T09:33:09.645,03077T,depth
2026-08-05T09:33:09.712,03046T,depth
2026-08-05T09:33:09.714,03077T,depth
2026-08-05T09:33:09.714,03046T,depth
2026-08-05T09:33:09.777,03077T,depth
2026-08-05T09:33:09.890,03197T,depth
2026-08-05T09:33:09.953,03196T,depth
2026-08-05T09:33:09.955,03046T,depth
2026-08-05T09:33:09.955,03195T,depth
2026-08-05T09:33:09.955,03194T,depth
2026-08-05T09:33:09.955,03077T,depth
2026-08-05T09:33:09.955,03046T,depth
2026-08-05T09:33:09.955,03077T,depth
2026-08-05T09:33:10.187,03182T,depth
2026-08-05T09:33:10.256,03011T,depth
2026-08-05T09:33:10.256,03182T,depth
2026-08-05T09:33:10.256,03182T,depth
2026-08-05T09:33:10.256,03011T,depth
2026-08-05T09:33:10.317,03011T,depth
2026-08-05T09:33:10.430,03195T,depth
2026-08-05T09:33:10.509,03197T,depth
2026-08-05T09:33:10.511,03196T,depth
2026-08-05T09:33:10.511,03194T,depth
2026-08-05T09:33:10.652,03046T,depth
2026-08-05T09:33:10.717,03182T,depth
2026-08-05T09:33:10.717,03077T,depth
2026-08-05T09:33:10.717,03011T,depth
2026-08-05T09:33:10.717,03011T,depth
2026-08-05T09:33:10.717,03182T,depth
2026-08-05T09:33:10.779,03182T,depth
2026-08-05T09:33:10.781,03011T,depth
2026-08-05T09:33:11.308,03046T,depth
2026-08-05T09:33:11.374,03077T,depth
2026-08-05T09:33:11.374,03046T,depth
2026-08-05T09:33:11.374,03077T,depth
2026-08-05T09:33:11.439,03077T,depth
2026-08-05T09:33:11.711,03046T,depth
2026-08-05T09:33:11.788,03077T,depth
2026-08-05T09:33:11.866,03182T,depth
2026-08-05T09:33:11.914,03182T,depth
2026-08-05T09:33:11.979,03182T,depth
2026-08-05T09:33:11.979,03011T,depth
2026-08-05T09:33:11.979,03046T,depth
2026-08-05T09:33:11.979,03182T,depth
2026-08-05T09:33:11.979,03077T,depth
2026-08-05T09:33:11.979,03011T,depth
2026-08-05T09:33:12.042,03011T,depth
2026-08-05T09:33:12.042,03011T,depth
2026-08-05T09:33:12.296,03046T,depth
2026-08-05T09:33:12.375,03182T,depth
2026-08-05T09:33:12.375,03077T,depth
2026-08-05T09:33:12.375,03011T,depth
2026-08-05T09:33:12.375,03011T,depth
2026-08-05T09:33:12.375,03182T,depth
2026-08-05T09:33:12.980,03077T,depth
2026-08-05T09:33:13.053,03046T,depth
2026-08-05T09:33:13.053,03077T,depth
